open,high,low,close,date,volume
179.05,188.0,170.85,183.95,2022-09-23,4809
193.1,193.1,176.15,191.85,2022-09-26,8992
201.0,201.0,191.0,197.4,2022-09-27,5867
203.35,203.35,187.55,187.55,2022-09-28,3862
178.55,180.05,178.2,178.2,2022-09-29,990
169.3,169.3,169.3,169.3,2022-09-30,123
160.85,160.85,160.85,160.85,2022-10-03,312
152.95,159.65,152.85,157.0,2022-10-04,8493
161.0,164.8,156.1,160.6,2022-10-06,1934
168.6,168.6,160.05,168.6,2022-10-07,3520
175.0,177.0,167.0,173.05,2022-10-10,4398
181.0,181.0,165.0,168.9,2022-10-11,5295
172.2,174.5,162.6,171.8,2022-10-12,7845
172.95,175.8,168.2,174.3,2022-10-13,1831
173.0,174.75,167.0,167.4,2022-10-14,1662
165.95,174.95,164.95,173.85,2022-10-17,1466
171.2,172.65,168.25,170.85,2022-10-18,447
174.3,174.3,167.55,169.4,2022-10-19,408
165.0,173.35,164.0,167.0,2022-10-20,492
166.0,173.2,160.05,161.35,2022-10-21,763
168.65,169.3,164.95,169.3,2022-10-24,527
175.25,175.7,163.15,165.05,2022-10-25,1170
166.0,168.95,156.8,161.1,2022-10-27,1499
165.0,166.1,155.5,166.0,2022-10-28,744
165.95,171.65,158.75,167.6,2022-10-31,907
160.75,169.9,160.7,167.65,2022-11-01,1070
168.65,171.55,159.3,160.9,2022-11-02,1884
153.9,165.85,153.9,159.95,2022-11-03,544
165.4,165.4,158.9,160.55,2022-11-04,20062
155.7,165.95,155.7,160.0,2022-11-07,554
168.0,168.0,160.0,161.45,2022-11-09,890
160.95,166.25,153.4,153.4,2022-11-10,3378
146.05,151.25,145.75,150.8,2022-11-11,2696
149.0,155.95,148.15,151.55,2022-11-14,409
149.85,155.05,149.85,151.0,2022-11-15,211
149.0,156.0,148.0,154.7,2022-11-16,4334
155.0,155.0,148.95,153.55,2022-11-17,1130
153.3,156.0,149.0,155.75,2022-11-18,657
155.75,155.75,149.5,154.45,2022-11-21,843
154.35,155.9,149.5,154.0,2022-11-22,332
155.0,155.0,149.05,149.5,2022-11-23,309
149.5,154.7,146.05,151.0,2022-11-24,4973
157.0,157.0,149.0,149.1,2022-11-25,827
147.0,152.85,147.0,148.3,2022-11-28,898
147.1,152.3,145.25,146.65,2022-11-29,292
144.1,152.0,144.0,145.5,2022-11-30,536
147.6,152.65,147.6,152.15,2022-12-01,445
154.05,159.75,147.5,150.65,2022-12-02,1955
153.75,155.0,145.95,146.75,2022-12-05,956
147.25,154.0,142.0,148.25,2022-12-06,255
151.0,153.75,142.25,143.2,2022-12-07,1736
144.75,149.05,142.0,142.2,2022-12-08,1104
142.95,146.15,135.1,136.7,2022-12-09,1361
130.95,143.5,130.95,143.4,2022-12-12,2041
147.8,150.55,143.5,150.0,2022-12-13,2051
157.45,157.45,146.0,146.25,2022-12-14,1655
153.0,153.0,146.0,148.5,2022-12-15,484
147.1,154.45,147.1,147.55,2022-12-16,344
144.1,154.05,144.1,147.0,2022-12-19,431
150.1,154.3,148.65,151.4,2022-12-20,1213
146.1,151.85,145.0,145.25,2022-12-21,755
150.0,151.0,140.6,141.5,2022-12-22,1116
140.0,148.5,136.0,136.25,2022-12-23,1116
135.0,143.05,135.0,143.05,2022-12-26,256
143.05,150.2,143.05,150.2,2022-12-27,655
157.0,157.0,143.05,155.55,2022-12-28,1196
152.05,153.95,147.8,147.8,2022-12-29,2585
153.85,154.85,143.1,144.4,2022-12-30,1260
144.0,150.0,144.0,150.0,2023-01-02,321
144.2,150.5,142.8,147.85,2023-01-03,2005
152.0,152.0,144.55,150.5,2023-01-04,2512
152.1,152.1,147.15,150.1,2023-01-05,4061
148.0,157.0,145.95,152.75,2023-01-06,2385
159.6,160.35,153.05,160.35,2023-01-09,6717
168.0,168.0,157.15,163.0,2023-01-10,5715
170.5,171.15,163.05,171.15,2023-01-11,3513
172.35,179.0,164.25,171.25,2023-01-12,6871
165.0,173.7,165.0,166.4,2023-01-13,4139
163.75,174.7,163.7,170.55,2023-01-16,4869
174.95,179.0,164.65,175.05,2023-01-17,3319
175.0,179.9,170.0,177.6,2023-01-18,4406
183.0,186.45,171.8,177.2,2023-01-19,20628
179.45,183.0,175.25,180.95,2023-01-20,9303
180.95,186.0,177.0,179.15,2023-01-23,2686
181.05,186.05,177.8,184.7,2023-01-24,4785
189.0,189.0,176.05,184.3,2023-01-25,3083
180.9,184.6,175.1,179.45,2023-01-27,2701
181.2,181.2,170.6,171.6,2023-01-30,2493
172.05,174.8,168.0,168.35,2023-01-31,2405
174.75,176.75,164.0,172.0,2023-02-01,1899
174.8,180.0,170.0,177.75,2023-02-02,3993
184.45,184.95,176.3,182.9,2023-02-03,2688
185.95,185.95,178.75,183.0,2023-02-06,1598
186.7,186.7,166.0,176.65,2023-02-07,4244
179.95,180.0,168.0,168.55,2023-02-08,2513
173.7,179.95,170.5,173.3,2023-02-09,1273
175.15,179.9,175.0,176.05,2023-02-10,1975
193.65,193.65,163.85,165.9,2023-02-13,2918
180.0,180.0,163.0,166.5,2023-02-14,2645
168.45,169.8,165.0,165.15,2023-02-15,382
164.9,164.9,162.1,163.9,2023-02-16,1161
167.0,180.05,162.0,168.1,2023-02-17,1678
170.1,172.1,165.0,165.35,2023-02-20,1651
170.9,181.85,169.5,181.65,2023-02-21,8539
186.2,186.2,165.0,165.7,2023-02-22,8182
165.2,178.95,165.2,168.0,2023-02-23,1976
171.4,171.4,167.05,168.05,2023-02-24,627
165.0,177.8,164.0,170.35,2023-02-27,2301
174.65,175.5,167.0,173.7,2023-02-28,232
171.1,172.9,165.0,165.15,2023-03-01,149
178.95,178.95,164.0,165.6,2023-03-02,865
167.7,171.0,165.0,165.0,2023-03-03,520
176.05,176.05,168.0,170.05,2023-03-06,3294
175.0,179.7,169.05,169.8,2023-03-08,2945
174.85,174.85,166.1,168.4,2023-03-09,1898
171.1,171.1,163.0,166.1,2023-03-10,684
171.5,173.95,165.4,167.4,2023-03-13,354
166.2,169.9,163.6,166.2,2023-03-14,187
167.0,167.0,162.9,163.0,2023-03-15,134
166.1,167.65,156.4,156.6,2023-03-16,1989
157.65,157.65,145.15,155.05,2023-03-17,438
151.4,160.0,151.4,152.8,2023-03-20,465
163.45,168.05,160.25,167.15,2023-03-21,5656
167.75,169.75,150.7,156.85,2023-03-22,5084
154.6,160.0,154.6,154.7,2023-03-23,1865
157.6,167.95,156.95,162.4,2023-03-24,1584
177.9,177.9,162.1,167.9,2023-03-27,753
160.45,164.9,157.7,163.05,2023-03-28,126
162.75,165.05,155.05,156.5,2023-03-29,2122
168.95,168.95,140.85,142.15,2023-03-31,10762
144.5,155.75,141.0,143.15,2023-04-03,9452
149.05,150.95,131.35,142.55,2023-04-05,12595
146.75,152.45,142.2,145.6,2023-04-06,6957
148.55,151.8,145.0,145.95,2023-04-10,941
153.15,153.15,136.0,141.55,2023-04-11,6668
145.05,148.55,140.15,142.35,2023-04-12,1683
144.05,147.05,141.1,144.65,2023-04-13,2173
147.85,148.95,142.45,147.5,2023-04-17,1492
148.1,154.4,147.5,153.05,2023-04-18,3628
152.45,159.0,150.6,156.9,2023-04-19,2649
169.0,187.95,160.0,162.45,2023-04-20,101695
164.85,164.85,153.0,155.0,2023-04-21,10392
150.4,158.95,147.05,149.9,2023-04-24,8483
149.0,153.75,147.75,150.3,2023-04-25,3977
151.2,161.7,148.0,154.0,2023-04-26,8517
151.65,156.7,150.15,154.9,2023-04-27,2242
156.0,157.45,151.75,155.5,2023-04-28,1498
156.7,160.0,148.0,154.1,2023-05-02,3570
152.1,156.95,150.0,153.4,2023-05-03,1927
154.9,156.9,150.95,153.65,2023-05-04,4063
153.9,157.0,150.5,153.5,2023-05-05,1807
151.6,157.9,151.6,153.95,2023-05-08,3027
154.2,156.35,152.65,153.9,2023-05-09,580
154.1,155.35,152.7,152.85,2023-05-10,662
154.9,157.0,152.6,153.5,2023-05-11,1398
153.65,153.9,149.5,152.2,2023-05-12,1340
154.35,155.4,149.5,151.65,2023-05-15,2965
151.6,155.0,149.8,151.3,2023-05-16,1477
157.0,157.0,150.15,153.4,2023-05-17,1273
153.8,155.75,150.5,150.9,2023-05-18,428
153.35,155.0,147.0,148.95,2023-05-19,5371
150.3,154.4,150.05,153.75,2023-05-22,2642
153.75,154.95,151.05,151.9,2023-05-23,2794
151.55,154.0,150.6,152.0,2023-05-24,984
153.95,154.05,148.55,149.6,2023-05-25,2787
151.1,151.1,121.55,137.85,2023-05-26,24166
144.95,144.95,135.1,138.35,2023-05-29,5665
140.8,161.0,135.0,139.85,2023-05-30,43657
145.0,145.0,137.7,138.95,2023-05-31,6488
139.25,145.25,137.0,138.45,2023-06-01,4816
141.3,143.9,137.05,138.6,2023-06-02,2944
142.3,142.9,139.35,140.1,2023-06-05,2341
145.9,145.9,134.55,135.8,2023-06-06,6810
139.95,141.7,135.05,136.6,2023-06-07,2533
140.8,140.95,136.15,136.6,2023-06-08,4005
138.65,138.65,134.0,135.1,2023-06-09,1374
138.75,155.9,136.9,138.8,2023-06-12,71602
138.85,139.95,134.6,134.9,2023-06-13,11567
139.35,139.35,135.0,136.1,2023-06-14,2677
135.6,138.9,134.55,135.0,2023-06-15,4801
140.4,140.4,133.0,134.8,2023-06-16,8009
