open,high,low,close,date,volume
190.0,196.35,162.3,163.25,2023-08-31,36098037
164.9,171.45,158.5,165.0,2023-09-01,9720028
165.0,167.25,160.35,161.2,2023-09-04,3010366
160.5,162.5,153.5,154.15,2023-09-05,3460816
155.0,162.5,154.2,159.1,2023-09-06,2759974
160.5,161.45,156.25,156.7,2023-09-07,1515649
158.45,159.0,155.4,156.6,2023-09-08,1008534
158.5,158.9,154.5,154.95,2023-09-11,1107364
156.0,157.4,147.2,148.65,2023-09-12,1383190
149.3,158.6,145.45,155.75,2023-09-13,2802134
157.95,159.8,156.55,157.9,2023-09-14,1490449
159.8,159.8,155.5,156.45,2023-09-15,925930
156.9,157.5,153.0,153.55,2023-09-18,417796
152.1,157.35,151.5,154.15,2023-09-20,834708
153.95,156.45,150.5,151.55,2023-09-21,610128
151.7,154.25,151.0,151.8,2023-09-22,730176
152.25,152.8,146.5,149.05,2023-09-25,514346
149.1,151.4,148.25,149.2,2023-09-26,337286
149.0,150.0,147.0,148.35,2023-09-27,266907
148.6,156.7,148.55,150.85,2023-09-28,1206610
151.45,154.0,150.65,152.75,2023-09-29,547688
152.6,153.3,150.3,151.5,2023-10-03,408303
151.15,152.4,148.0,148.6,2023-10-04,507025
149.6,151.1,146.5,146.95,2023-10-05,530731
148.4,148.95,146.2,146.65,2023-10-06,450908
143.0,144.95,142.4,142.65,2023-10-09,427070
144.85,147.3,143.15,144.0,2023-10-10,562526
145.4,149.5,145.25,147.05,2023-10-11,874168
147.9,160.45,147.4,158.1,2023-10-12,3641213
158.0,162.45,156.1,157.0,2023-10-13,2009389
157.5,158.0,151.9,152.3,2023-10-16,924543
153.7,157.4,153.25,154.7,2023-10-17,537721
155.5,165.4,155.05,161.85,2023-10-18,4641983
160.75,171.5,160.15,170.95,2023-10-19,6903576
171.85,173.8,163.55,165.05,2023-10-20,2254181
165.1,165.6,152.9,153.65,2023-10-23,2120790
155.7,158.35,148.25,150.75,2023-10-25,887683
149.0,152.45,145.55,150.6,2023-10-26,962754
152.0,155.95,151.35,152.25,2023-10-27,690947
152.75,154.65,150.55,152.5,2023-10-30,422854
153.3,164.4,153.15,160.85,2023-10-31,2669545
162.0,167.7,160.0,160.95,2023-11-01,1931300
163.05,165.4,160.5,161.7,2023-11-02,757572
163.75,166.5,162.05,163.35,2023-11-03,985509
165.0,172.7,162.2,163.1,2023-11-06,2646496
164.0,165.45,162.3,162.85,2023-11-07,661693
163.85,165.45,159.2,159.85,2023-11-08,621479
160.0,162.45,158.05,159.6,2023-11-09,644826
159.2,160.05,155.5,156.8,2023-11-10,626021
158.5,161.85,158.0,160.5,2023-11-12,310234
160.0,163.8,158.3,162.15,2023-11-13,659958
163.8,164.4,160.45,161.0,2023-11-15,490161
161.3,163.2,159.5,160.2,2023-11-16,428058
160.25,161.95,157.25,157.85,2023-11-17,479928
158.45,159.5,156.35,156.9,2023-11-20,405303
157.95,161.4,156.9,157.85,2023-11-21,643869
158.4,159.4,155.95,156.85,2023-11-22,317844
157.25,159.25,155.9,156.4,2023-11-23,278062
156.4,164.45,156.4,162.45,2023-11-24,1831074
163.85,165.5,159.2,159.65,2023-11-28,1101215
160.4,164.0,158.6,158.95,2023-11-29,508518
159.7,159.7,156.6,158.05,2023-11-30,538010
159.0,159.9,156.8,157.35,2023-12-01,456455
159.9,160.25,157.15,158.05,2023-12-04,450823
158.7,159.0,155.05,155.95,2023-12-05,553688
156.9,157.95,154.8,155.4,2023-12-06,487641
155.05,157.55,154.4,155.8,2023-12-07,446511
156.4,157.4,154.35,154.8,2023-12-08,363858
155.65,156.4,153.6,153.9,2023-12-11,466843
153.6,155.0,151.0,151.65,2023-12-12,633778
152.1,153.85,151.3,152.15,2023-12-13,349730
153.0,155.9,151.6,151.8,2023-12-14,702360
152.4,153.45,150.3,150.85,2023-12-15,487094
150.05,152.45,150.05,150.85,2023-12-18,510284
151.5,152.4,150.2,150.45,2023-12-19,413117
151.4,151.5,142.2,143.35,2023-12-20,1105524
142.0,147.2,140.9,145.5,2023-12-21,868271
146.5,150.95,146.3,148.8,2023-12-22,644618
149.3,150.25,146.8,147.7,2023-12-26,337734
148.55,149.6,147.35,147.85,2023-12-27,398969
148.35,158.8,147.9,157.0,2023-12-28,2724129
157.9,157.9,154.05,155.0,2023-12-29,802111
