open,high,low,close,date,volume
81103.0,81938.8,78800.0,79622.0,2022-09-29,16538
80080.0,82131.1,79022.65,81654.55,2022-09-30,15688
82100.0,82100.0,80100.0,80624.25,2022-10-03,9872
81897.0,83000.0,81277.65,82825.45,2022-10-04,10705
83238.0,83856.1,82253.0,82440.15,2022-10-06,10841
82499.0,82989.95,81803.05,82769.65,2022-10-07,8103
81825.0,82700.0,81222.0,82302.1,2022-10-10,8792
82713.65,83082.95,80735.25,81081.05,2022-10-11,10869
81486.5,82636.05,81200.15,82481.7,2022-10-12,8355
82369.85,82700.0,81700.0,82112.35,2022-10-13,8430
82990.0,83200.0,81010.3,81350.15,2022-10-14,7118
81390.0,82641.05,80789.05,82267.95,2022-10-17,8749
82670.0,83300.0,82426.75,83088.15,2022-10-18,5618
83105.0,84500.0,82500.0,83149.45,2022-10-19,9220
83100.0,84500.0,83100.0,84171.8,2022-10-20,12767
84210.05,88187.9,84210.05,86224.8,2022-10-21,36192
87319.0,87932.2,85890.0,86291.55,2022-10-24,3801
86699.0,87700.0,86107.6,87342.85,2022-10-25,14532
88200.0,88299.0,86650.0,87362.85,2022-10-27,10885
87360.0,89550.0,87299.0,89368.3,2022-10-28,26116
89368.3,91250.0,89300.05,90767.0,2022-10-31,16620
90800.0,92099.95,90300.0,90830.2,2022-11-01,14548
91189.0,91500.0,90408.35,90620.8,2022-11-02,11945
90575.0,91499.0,90300.0,90658.15,2022-11-03,8267
91000.0,91500.0,90500.0,91248.15,2022-11-04,6468
91698.0,96000.0,91387.45,94900.1,2022-11-07,28285
91450.0,91999.45,85901.65,87017.45,2022-11-09,80686
87017.45,88347.8,85100.0,87468.65,2022-11-10,24162
88490.0,88858.75,85855.1,86156.4,2022-11-11,17194
86587.2,86750.0,85200.0,86179.85,2022-11-14,13612
86610.75,87850.0,86179.85,87574.25,2022-11-15,19773
87550.0,88300.0,87000.25,87686.0,2022-11-16,9638
88000.0,88150.0,87140.25,87890.45,2022-11-17,8525
87999.0,88394.85,87409.7,88092.7,2022-11-18,6997
88300.0,89397.0,87220.0,89097.2,2022-11-21,11462
89005.0,89800.0,88500.0,88956.2,2022-11-22,9016
89309.95,89654.0,88685.95,88973.15,2022-11-23,6407
89199.0,89600.0,88687.2,89404.65,2022-11-24,6000
89365.0,90388.0,89001.0,89904.6,2022-11-25,9260
90000.0,91969.0,89930.05,91533.8,2022-11-28,13196
92000.0,92800.0,91900.05,92565.15,2022-11-29,11792
92800.0,94103.45,92269.0,93557.55,2022-11-30,17300
94000.0,95151.2,93234.6,94325.5,2022-12-01,16380
94490.0,94988.0,93234.0,94554.2,2022-12-02,11977
94711.95,95243.65,94052.45,94673.7,2022-12-05,8584
94599.0,94800.0,94060.05,94516.9,2022-12-06,6816
94699.95,95075.9,92616.55,92885.4,2022-12-07,13731
93100.0,93479.95,90250.0,91092.4,2022-12-08,14507
91309.0,92000.0,90065.15,91510.7,2022-12-09,10766
91730.0,91730.0,90600.05,91393.65,2022-12-12,6440
91455.0,91899.0,90601.0,90969.95,2022-12-13,5928
91225.0,91947.3,90943.75,91165.45,2022-12-14,4831
91140.0,91699.95,90502.0,90872.85,2022-12-15,5201
90521.0,90728.75,88600.0,89112.75,2022-12-16,8992
89113.0,90230.95,88536.65,89916.95,2022-12-19,5089
90199.9,90199.9,88700.0,89005.0,2022-12-20,7210
89299.0,89900.0,87278.75,88192.95,2022-12-21,7768
88200.05,88899.75,87501.0,88192.75,2022-12-22,5601
88140.0,88140.0,85774.25,86071.0,2022-12-23,7258
85802.45,88373.95,85201.05,87596.6,2022-12-26,6899
88000.0,88490.0,87500.0,88090.15,2022-12-27,5533
87760.0,88590.0,87500.0,87923.25,2022-12-28,5192
87900.0,87900.0,86611.45,87567.95,2022-12-29,6365
87900.0,89250.0,87812.25,88535.45,2022-12-30,6766
88600.0,88745.35,87879.7,88051.2,2023-01-02,4248
88397.9,89121.0,87962.7,88876.15,2023-01-03,4793
88892.0,89073.55,87398.0,88012.25,2023-01-04,7515
88500.0,91900.0,88441.95,91275.8,2023-01-05,22626
91580.0,93400.0,90557.8,93141.5,2023-01-06,28710
93600.0,93998.75,92902.0,93447.6,2023-01-09,8191
93250.0,94480.0,93093.9,94163.95,2023-01-10,11295
94261.0,94399.85,90750.0,91142.0,2023-01-11,12684
91597.75,91663.5,88573.0,89518.25,2023-01-12,13853
89700.0,90650.0,89156.3,89712.95,2023-01-13,13692
90100.0,90679.6,89000.0,89228.35,2023-01-16,9198
89682.85,89965.9,89010.05,89526.75,2023-01-17,6548
89360.0,90399.95,89279.95,90196.85,2023-01-18,6516
89999.0,90899.0,89819.0,90484.0,2023-01-19,5767
90484.0,91198.9,89255.65,89557.0,2023-01-20,7211
89995.0,90539.75,89679.95,90280.35,2023-01-23,4493
90500.0,90949.4,90045.05,90414.5,2023-01-24,4227
90300.0,90436.0,88429.6,89571.75,2023-01-25,5737
89640.0,89665.75,86911.35,88261.1,2023-01-27,9731
