open,high,low,close,date,volume
723.95,743.9,723.95,733.55,2022-09-29,21925
725.0,774.9,720.25,759.8,2022-09-30,100815
756.0,765.0,732.9,741.35,2022-10-03,54262
750.0,768.0,733.25,759.75,2022-10-04,61689
771.9,774.9,761.45,768.8,2022-10-06,13746
765.05,789.75,755.0,784.8,2022-10-07,17859
776.1,783.0,752.1,758.75,2022-10-10,40551
752.0,760.05,713.7,721.5,2022-10-11,48473
725.25,730.0,695.0,703.95,2022-10-12,56237
709.1,710.05,689.6,706.25,2022-10-13,63640
719.95,719.95,704.0,709.15,2022-10-14,35195
716.95,716.95,689.0,698.85,2022-10-17,31932
709.35,715.15,700.5,710.95,2022-10-18,12557
712.5,717.0,695.0,699.35,2022-10-19,7501
702.1,705.0,687.1,690.8,2022-10-20,14903
693.5,698.75,664.6,672.7,2022-10-21,20075
678.0,694.0,665.95,678.8,2022-10-24,19497
683.0,695.2,661.0,670.15,2022-10-25,29366
676.85,687.9,664.55,681.35,2022-10-27,51730
684.95,692.65,676.55,685.95,2022-10-28,16550
689.0,691.55,674.95,683.15,2022-10-31,20524
675.45,690.65,615.75,688.85,2022-11-01,13006
694.0,713.8,685.65,699.75,2022-11-02,22274
689.25,723.0,688.15,714.85,2022-11-03,22300
721.0,724.8,702.85,705.8,2022-11-04,6310
712.25,716.65,705.35,709.35,2022-11-07,7535
720.0,720.0,707.35,709.3,2022-11-09,8671
709.3,720.25,705.1,716.6,2022-11-10,12062
728.25,769.3,709.85,760.5,2022-11-11,59319
765.0,767.0,724.15,728.65,2022-11-14,21022
739.6,739.6,710.05,714.7,2022-11-15,10673
721.85,721.85,701.7,707.35,2022-11-16,10172
714.4,716.0,700.0,702.9,2022-11-17,6899
711.9,711.9,696.6,703.75,2022-11-18,10767
704.55,707.3,692.4,696.0,2022-11-21,8657
700.0,722.35,693.25,703.0,2022-11-22,23744
701.0,705.5,691.0,692.2,2022-11-23,14680
699.6,701.05,685.0,688.7,2022-11-24,10854
699.05,699.05,681.0,682.0,2022-11-25,20345
695.65,695.65,669.05,680.15,2022-11-28,28432
695.0,706.5,682.05,700.95,2022-11-29,34229
707.0,710.8,690.0,694.45,2022-11-30,23223
707.9,714.45,685.0,701.85,2022-12-01,15613
694.85,726.05,694.85,717.05,2022-12-02,14205
707.0,729.0,707.0,713.45,2022-12-05,9124
724.15,724.15,701.0,706.4,2022-12-06,7638
705.05,717.5,700.0,702.0,2022-12-07,5435
712.55,717.0,702.05,709.85,2022-12-08,10376
716.95,716.95,695.2,703.0,2022-12-09,10184
717.8,717.9,684.0,689.8,2022-12-12,17013
689.8,703.7,670.0,676.3,2022-12-13,28116
678.8,699.9,678.1,693.4,2022-12-14,30487
703.9,727.0,696.0,705.8,2022-12-15,35650
709.4,710.5,693.0,699.55,2022-12-16,15174
699.55,709.8,684.05,695.3,2022-12-19,22481
702.2,703.55,687.0,699.9,2022-12-20,13266
699.9,703.1,682.05,684.9,2022-12-21,11517
688.7,691.9,650.0,663.75,2022-12-22,24058
672.95,672.95,630.0,632.8,2022-12-23,28998
633.0,675.0,633.0,649.9,2022-12-26,27955
651.05,657.95,639.95,647.7,2022-12-27,16793
654.0,669.0,642.3,660.25,2022-12-28,16790
653.65,662.5,646.45,655.35,2022-12-29,8011
673.0,673.0,655.0,658.0,2022-12-30,7405
665.0,690.0,657.2,685.35,2023-01-02,35448
680.1,692.0,668.4,670.55,2023-01-03,10642
679.45,679.45,658.05,666.3,2023-01-04,15045
672.95,672.95,651.1,656.5,2023-01-05,19975
660.0,666.5,648.1,650.1,2023-01-06,16648
659.85,663.6,641.05,643.35,2023-01-09,9722
649.8,652.9,637.0,642.3,2023-01-10,6757
645.0,650.0,635.5,640.8,2023-01-11,15024
643.9,648.0,630.0,636.4,2023-01-12,52570
645.95,649.0,637.05,639.15,2023-01-13,23879
645.55,645.55,633.8,639.65,2023-01-16,22200
639.7,640.75,627.0,629.85,2023-01-17,14649
635.0,647.7,629.65,646.15,2023-01-18,77246
647.05,656.95,634.85,651.45,2023-01-19,46177
652.05,652.05,630.0,633.6,2023-01-20,11750
639.95,645.55,632.4,634.3,2023-01-23,10999
637.7,644.9,634.0,640.8,2023-01-24,5464
640.8,640.8,633.0,636.75,2023-01-25,6261
631.75,641.95,610.0,619.9,2023-01-27,15711
619.9,635.6,594.0,607.1,2023-01-30,74481
606.5,621.55,594.0,616.0,2023-01-31,10629
636.95,636.95,605.75,610.7,2023-02-01,16688
601.1,627.25,601.1,620.7,2023-02-02,6498
622.35,624.0,615.85,622.6,2023-02-03,5457
629.35,706.7,620.05,667.6,2023-02-06,61524
669.3,698.0,649.05,663.0,2023-02-07,45603
663.0,670.0,647.25,662.4,2023-02-08,18465
669.65,670.95,643.15,649.7,2023-02-09,16610
650.0,657.35,630.55,635.45,2023-02-10,24326
634.0,642.0,601.0,621.25,2023-02-13,43515
626.25,638.0,617.65,626.15,2023-02-14,42556
617.0,645.0,616.75,632.7,2023-02-15,31066
636.35,637.6,626.95,627.85,2023-02-16,12565
629.0,638.25,628.0,633.0,2023-02-17,9894
633.05,638.35,616.0,618.1,2023-02-20,10909
622.3,630.95,612.9,620.0,2023-02-21,50301
624.8,624.8,610.0,615.85,2023-02-22,6664
621.75,621.8,608.95,615.75,2023-02-23,11081
616.0,625.0,609.0,614.9,2023-02-24,16759
619.8,619.8,610.2,613.6,2023-02-27,7801
607.05,626.85,607.05,614.15,2023-02-28,17045
619.8,619.8,597.05,614.75,2023-03-01,18770
615.05,616.85,605.0,607.95,2023-03-02,13610
609.0,618.7,602.0,604.45,2023-03-03,17572
613.5,617.0,595.4,608.7,2023-03-06,45491
617.85,617.85,603.0,608.35,2023-03-08,18566
609.8,616.7,606.05,610.4,2023-03-09,15821
612.0,612.0,604.0,609.75,2023-03-10,9046
614.6,614.6,586.5,594.15,2023-03-13,13961
595.0,595.0,575.0,586.5,2023-03-14,61764
588.45,592.9,578.0,579.55,2023-03-15,14159
579.5,585.0,565.8,572.25,2023-03-16,31318
571.2,574.8,541.1,545.4,2023-03-17,67074
554.05,555.6,538.5,540.55,2023-03-20,26440
548.65,558.7,536.65,540.7,2023-03-21,25500
546.1,591.9,545.45,561.9,2023-03-22,62503
562.4,570.0,552.9,555.0,2023-03-23,12667
554.3,557.65,539.55,541.55,2023-03-24,18551
549.65,549.65,514.6,518.4,2023-03-27,47579
520.0,529.6,491.35,499.9,2023-03-28,86733
498.15,527.4,495.35,522.6,2023-03-29,78055
530.0,544.95,524.0,526.25,2023-03-31,152619
538.9,538.9,518.6,531.4,2023-04-03,44562
539.35,545.6,527.2,530.75,2023-04-05,48655
530.75,543.0,529.05,541.2,2023-04-06,32525
546.6,549.8,530.1,536.6,2023-04-10,53933
541.95,546.0,530.0,537.2,2023-04-11,45284
540.5,563.3,539.05,550.15,2023-04-12,59125
558.4,558.4,544.7,549.2,2023-04-13,15968
557.45,564.8,540.85,549.4,2023-04-17,22601
559.7,564.0,549.4,559.7,2023-04-18,10268
555.0,595.05,555.0,584.0,2023-04-19,46728
588.95,597.85,575.7,585.3,2023-04-20,36450
587.0,598.2,566.0,569.25,2023-04-21,30238
574.95,574.95,551.0,561.75,2023-04-24,31187
562.0,571.0,542.95,555.65,2023-04-25,55264
561.25,561.95,543.0,545.05,2023-04-26,48386
550.0,554.0,541.0,543.7,2023-04-27,35894
541.05,554.35,541.05,551.2,2023-04-28,12876
556.7,571.0,555.05,564.1,2023-05-02,26282
568.5,568.5,554.5,557.15,2023-05-03,11652
557.15,571.0,554.05,568.75,2023-05-04,14204
571.0,590.7,565.85,580.95,2023-05-05,31085
580.95,594.9,573.65,577.85,2023-05-08,13636
584.0,593.0,569.0,579.4,2023-05-09,24601
588.1,588.1,574.55,579.25,2023-05-10,8460
575.8,592.0,575.8,587.75,2023-05-11,18175
596.55,618.4,588.35,606.7,2023-05-12,40470
615.8,616.45,597.85,608.15,2023-05-15,31092
636.95,642.0,620.1,621.8,2023-05-16,92702
625.0,640.0,624.0,637.95,2023-05-17,34177
636.05,649.85,628.0,631.4,2023-05-18,28941
645.0,654.0,626.85,645.95,2023-05-19,41949
662.0,676.5,660.0,666.95,2023-05-22,50776
675.0,675.0,637.75,641.35,2023-05-23,43751
