open,high,low,close,date,volume
336.65,345.95,333.0,334.6,2022-09-29,900097
335.7,342.4,331.05,339.8,2022-09-30,584875
341.0,345.6,336.4,339.25,2022-10-03,739691
346.35,348.0,340.4,341.75,2022-10-04,445709
343.5,347.8,343.45,345.7,2022-10-06,515610
345.0,347.5,341.75,343.95,2022-10-07,494532
339.5,342.5,336.6,338.1,2022-10-10,409378
339.45,340.7,330.0,331.25,2022-10-11,346632
332.95,334.15,326.15,330.85,2022-10-12,409033
331.0,334.7,328.4,329.5,2022-10-13,349723
335.5,336.1,326.15,327.35,2022-10-14,384332
327.4,328.95,319.3,321.0,2022-10-17,497971
322.65,326.8,322.6,324.4,2022-10-18,315601
325.9,332.8,325.15,328.6,2022-10-19,514117
324.0,327.95,323.95,326.75,2022-10-20,323161
328.3,330.4,322.1,322.7,2022-10-21,380992
327.0,329.05,326.0,326.95,2022-10-24,144467
328.0,328.4,320.5,321.2,2022-10-25,371328
323.1,323.65,315.95,317.6,2022-10-27,389014
318.65,320.95,315.0,315.75,2022-10-28,318970
317.35,318.4,313.5,316.3,2022-10-31,431523
317.9,320.8,316.3,318.3,2022-11-01,358366
318.4,320.65,313.75,316.0,2022-11-02,355037
314.95,317.05,314.0,315.7,2022-11-03,313134
316.45,316.8,313.0,313.8,2022-11-04,321193
315.2,321.2,314.0,316.2,2022-11-07,629869
295.15,308.6,292.0,300.25,2022-11-09,2271257
300.3,303.95,296.1,297.95,2022-11-10,650866
298.0,303.9,296.0,297.45,2022-11-11,659434
298.95,300.6,296.0,299.05,2022-11-14,405514
300.35,306.4,298.3,299.3,2022-11-15,499915
299.8,304.5,297.1,298.05,2022-11-16,494935
298.0,299.0,292.5,293.35,2022-11-17,472501
295.25,295.65,289.7,291.4,2022-11-18,347805
291.4,293.9,287.0,288.25,2022-11-21,413578
289.7,291.2,287.1,288.4,2022-11-22,242347
289.8,304.8,287.85,302.9,2022-11-23,1142390
304.4,308.95,302.3,305.25,2022-11-24,638835
306.0,306.25,301.0,302.55,2022-11-25,330096
302.0,305.55,300.0,301.1,2022-11-28,307969
300.9,302.4,297.0,297.95,2022-11-29,327425
298.2,302.1,298.2,300.3,2022-11-30,311915
302.0,307.0,301.3,303.1,2022-12-01,434777
303.7,306.4,302.7,304.2,2022-12-02,266521
305.3,321.0,304.3,318.75,2022-12-05,2258828
318.75,320.65,310.1,312.05,2022-12-06,641690
311.5,314.4,306.75,308.6,2022-12-07,348496
309.8,312.7,306.0,307.45,2022-12-08,297397
308.8,310.45,301.85,303.65,2022-12-09,372482
303.5,307.1,300.05,302.5,2022-12-12,279419
303.5,307.1,302.1,303.5,2022-12-13,289974
304.8,306.65,303.0,303.45,2022-12-14,255344
303.45,318.5,302.45,309.85,2022-12-15,1274064
308.6,310.0,304.05,305.1,2022-12-16,381081
305.1,318.4,301.55,312.3,2022-12-19,1356334
312.95,317.25,308.2,310.8,2022-12-20,695103
312.95,313.25,298.0,300.2,2022-12-21,483432
301.2,304.1,291.0,292.25,2022-12-22,601896
289.85,292.0,276.2,278.0,2022-12-23,829032
278.15,293.8,277.0,291.6,2022-12-26,456201
293.9,298.7,292.4,296.05,2022-12-27,317014
297.1,299.2,294.2,295.55,2022-12-28,263187
295.9,295.9,291.15,292.6,2022-12-29,203079
294.9,303.0,294.85,296.9,2022-12-30,297548
296.9,299.55,296.4,297.5,2023-01-02,192758
299.5,304.05,298.3,299.4,2023-01-03,321436
300.8,300.8,291.65,293.45,2023-01-04,251424
294.75,297.4,290.05,293.2,2023-01-05,307946
291.8,294.5,290.6,292.2,2023-01-06,198678
293.7,296.1,291.45,292.2,2023-01-09,165551
293.55,293.6,288.55,289.85,2023-01-10,232770
291.15,292.95,288.5,289.15,2023-01-11,261345
288.55,292.8,288.1,289.2,2023-01-12,204334
290.15,291.75,288.8,289.45,2023-01-13,157852
290.8,291.9,286.5,287.35,2023-01-16,238426
288.7,289.5,286.25,287.25,2023-01-17,209993
288.6,289.65,286.15,286.65,2023-01-18,180696
284.95,287.5,282.0,283.15,2023-01-19,317713
284.7,286.2,282.85,283.7,2023-01-20,204565
286.4,294.8,285.0,290.6,2023-01-23,335405
292.0,294.5,288.1,289.8,2023-01-24,264636
285.0,285.0,279.1,280.45,2023-01-25,610319
279.0,280.95,268.05,272.8,2023-01-27,535940
273.9,276.45,258.65,267.15,2023-01-30,516870
270.95,270.95,262.1,266.35,2023-01-31,562977
269.25,288.7,268.1,271.2,2023-02-01,1307740
272.8,279.95,269.3,274.25,2023-02-02,355411
275.65,278.95,268.65,271.4,2023-02-03,259505
273.9,273.9,267.55,269.25,2023-02-06,258628
270.6,272.15,266.2,267.25,2023-02-07,232041
268.6,270.0,267.15,267.7,2023-02-08,226066
267.7,270.6,267.7,268.9,2023-02-09,223530
269.0,271.0,268.1,269.6,2023-02-10,197751
270.0,271.4,265.0,265.95,2023-02-13,238751
266.85,268.75,264.1,264.95,2023-02-14,158824
264.5,265.0,262.05,263.8,2023-02-15,187182
265.1,272.7,264.65,269.55,2023-02-16,421275
269.4,269.7,264.0,264.95,2023-02-17,294400
266.05,266.1,261.5,262.35,2023-02-20,202549
263.45,265.65,262.2,263.6,2023-02-21,203302
260.35,263.4,260.0,260.5,2023-02-22,216498
261.85,261.85,256.2,256.75,2023-02-23,232817
257.65,259.7,254.4,257.2,2023-02-24,268150
256.0,259.15,251.35,257.6,2023-02-27,340592
259.8,263.95,255.65,258.35,2023-02-28,400300
260.95,263.8,259.1,261.9,2023-03-01,183171
261.5,264.9,261.0,261.75,2023-03-02,241871
263.0,263.9,260.0,260.8,2023-03-03,264711
262.0,267.95,262.0,265.15,2023-03-06,408302
264.4,265.35,262.75,263.35,2023-03-08,220875
264.6,264.95,259.0,260.0,2023-03-09,207666
259.0,259.95,256.2,258.4,2023-03-10,192924
259.2,259.7,250.0,250.9,2023-03-13,369349
252.05,252.95,245.0,246.25,2023-03-14,358987
249.05,251.5,240.5,242.65,2023-03-15,316379
